Reporting Year,"Aggregate Level (Citywide, Borough, Council District, Census Tract)",Aggregate Level ID,Total #Storefronts,Median Square Feet,Average Square Feet,#Storefront leased to tenants,#Storefront leased and not operating on 12/31,Median Monthly Rent Per Square Foot,Average Monthly Rent Per Square Foot,Median Years Leased,Average Years Leased,#Storefronts with Leases Ending after 12/31,Median Years Lease Term Remaining after 12/31,Average Years Lease Term Remaining after 12/31,Number whose lease is due to expire within the two years after 6/1,#Storefront Reported Occupied by Owner,Median Years Occupied by Owner,Average Years Occupied by Owner,#Storefront reported Not Leased and Not Owner Occupied,Median Years Not Leased and Not Owner Occupied,Average Years Not Leased and Not Owner Occupied,#Storefront under construction with DOB Projects Listed,Median years for construction projects,Average years for construction projects
2021,Citywide,Citywide,62066,1234.00,3094.80,"52,288","3,067",5.00,10.94,8.05,9.38,"36,020",3.75,4.89,"10,512","3,553",1.00,7.80,"6,225",1.00,1.55,258,2.00,2.61
2021,Census Tract,5.0323.00,23,1710.00,8322.22,*,*,*,*,*,*,*,*,*,0,12,1.00,1.56,*,*,*,0,0.00,0.00
2021,Census Tract,5.0303.02,32,1974.50,5759.06,26,0,3.00,2.73,10.13,9.97,21,2.50,5.64,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0303.01,25,1724.00,5346.96,23,0,3.00,4.22,10.09,11.30,23,6.50,6.59,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0291.04,34,2346.00,4890.68,32,0,2.75,3.17,12.51,15.87,26,6.34,8.94,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0291.03,67,1525.00,2850.01,58,*,3.00,3.19,10.01,10.09,38,3.79,4.38,12,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0291.02,63,2000.00,8704.46,41,*,2.00,4.94,6.08,9.38,23,3.42,5.13,*,12,1.00,1.60,10,1.00,1.22,0,0.00,0.00
2021,Census Tract,5.0279.00,11,1061.00,1096.91,10,*,3.00,2.90,1.00,1.14,0,0.00,0.00,0,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0277.06,51,1500.00,3433.47,46,0,39.50,28.91,11.01,13.81,39,2.75,3.89,15,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0277.02,96,4356.50,14831.21,78,18,18.50,24.68,15.30,16.99,69,5.25,5.17,14,*,*,*,*,*,*,*,*,*
2021,Census Tract,5.0251.00,11,1200.00,6023.73,11,0,3.00,5.32,10.01,11.58,11,7.01,6.41,*,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,5.0248.00,69,1236.00,2229.33,54,*,3.00,3.22,4.50,7.87,28,2.42,4.35,13,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0247.00,17,2300.00,5911.35,15,*,3.25,3.43,10.01,13.09,12,4.32,7.47,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0231.00,18,1850.00,2597.50,14,*,2.50,2.62,5.50,7.08,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0226.00,182,1775.00,6193.99,150,34,3.00,4.93,2.50,6.76,67,4.33,7.35,17,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0223.00,10,1630.00,1951.00,*,*,*,*,*,*,0,0.00,0.00,0,*,*,*,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,5.0213.00,29,1084.00,1786.28,16,*,3.50,6.33,1.00,1.91,0,0.00,0.00,0,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0208.01,39,2055.00,6008.54,30,0,5.00,12.97,10.01,10.28,26,4.42,6.50,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0207.00,39,1800.00,2859.23,29,*,2.00,3.28,3.00,4.58,13,1.16,2.30,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0201.00,21,1400.00,2084.05,17,0,2.00,2.86,1.00,2.47,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0198.00,22,880.00,1322.36,16,0,4.00,3.72,5.61,5.78,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0189.01,26,1800.00,2438.08,15,*,2.51,2.57,1.00,2.19,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0187.01,26,700.00,1240.92,21,0,3.00,3.47,1.00,5.08,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0181.00,26,898.00,1393.38,23,*,2.00,3.37,4.00,5.71,13,2.84,4.40,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0170.11,24,1250.00,1959.58,20,*,3.00,2.89,5.55,5.40,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0170.05,28,1125.00,1541.54,20,*,3.05,2.90,1.00,1.75,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0169.01,31,1600.00,1699.29,24,0,4.00,14.17,5.00,6.69,17,1.83,2.05,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0156.03,57,2000.00,5743.47,46,20,21.50,22.87,11.47,15.18,38,4.63,4.69,11,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0156.02,22,1387.00,1973.68,21,0,3.00,5.99,5.50,7.82,19,2.92,3.91,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0156.01,58,1325.00,2306.45,45,*,27.00,22.66,4.00,5.19,26,2.60,3.17,*,*,*,*,*,*,*,0,0.00,0.00
