,Unnamed: 0,BOROUGH 1,NBHD,Reporting Year,pct,num_storefornts
1,301,MANHATTAN,Turtle Bay-East Midtown,2021 and 2022,19.80018165304269,1101
4,319,MANHATTAN,Battery Park City-Lower Manhattan,2021 and 2022,19.07284768211921,755
7,298,MANHATTAN,Midtown-Midtown South,2021 and 2022,18.00327332242226,3055
9,349,MANHATTAN,Stuyvesant Town-Cooper Village,2021 and 2022,16.66666666666666,24
11,289,MANHATTAN,Hudson Yards-Chelsea-Flat Iron-Union Square,2021 and 2022,16.42045454545455,1760
13,316,MANHATTAN,SoHo-TriBeCa-Civic Center-Little Italy,2021 and 2022,15.92627599243856,2116
15,325,MANHATTAN,Lower East Side,2021 and 2022,15.69086651053864,427
16,322,MANHATTAN,Chinatown,2021 and 2022,15.43859649122807,1425
24,313,MANHATTAN,West Village,2021 and 2022,14.0785498489426,1655
25,328,MANHATTAN,Lenox Hill-Roosevelt Island,2021 and 2022,13.9386189258312,782
26,295,MANHATTAN,Clinton,2021 and 2022,13.92904073587385,761
28,304,MANHATTAN,Murray Hill-Kips Bay,2021 and 2022,13.34231805929919,742
32,346,MANHATTAN,Upper East Side-Carnegie Hill,2021 and 2022,12.81481481481481,1350
33,307,MANHATTAN,Gramercy,2021 and 2022,12.79069767441861,430
36,310,MANHATTAN,East Village,2021 and 2022,12.23241590214067,981
43,337,MANHATTAN,East Harlem North,2021 and 2022,11.4,500
46,286,MANHATTAN,Upper West Side,2021 and 2022,11.21304791029562,981
49,331,MANHATTAN,Yorkville,2021 and 2022,10.78125,640
52,283,MANHATTAN,Central Harlem South,2021 and 2022,10.52631578947368,437
74,292,MANHATTAN,Lincoln Square,2021 and 2022,9.073724007561438,529
79,280,MANHATTAN,Morningside Heights,2021 and 2022,8.881578947368421,304
83,274,MANHATTAN,Hamilton Heights,2021 and 2022,8.629441624365482,394
94,343,MANHATTAN,Washington Heights South,2021 and 2022,7.965686274509803,816
99,271,MANHATTAN,Central Harlem North-Polo Grounds,2021 and 2022,7.809523809523809,525
102,334,MANHATTAN,East Harlem South,2021 and 2022,7.692307692307693,338
126,340,MANHATTAN,Washington Heights North,2021 and 2022,6.645569620253164,632
159,277,MANHATTAN,Manhattanville,2021 and 2022,4.62962962962963,108
165,268,MANHATTAN,Marble Hill-Inwood,2021 and 2022,3.947368421052631,456
191,348,MANHATTAN,Stuyvesant Town-Cooper Village,2020 and 2021,25.0,24
192,300,MANHATTAN,Turtle Bay-East Midtown,2020 and 2021,19.80753809141941,1247
195,318,MANHATTAN,Battery Park City-Lower Manhattan,2020 and 2021,18.22916666666666,768
197,315,MANHATTAN,SoHo-TriBeCa-Civic Center-Little Italy,2020 and 2021,17.36420302760463,2246
198,297,MANHATTAN,Midtown-Midtown South,2020 and 2021,17.09401709401709,3393
200,288,MANHATTAN,Hudson Yards-Chelsea-Flat Iron-Union Square,2020 and 2021,16.30879345603272,1956
201,312,MANHATTAN,West Village,2020 and 2021,16.24649859943978,1785
